,area,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
0,0,595027dd79187113016509d5,The Station Pizza Parlor,37.73312,-122.49987,Pizza
1,1,58c5fda9c30f791c62a37beb,Andytown,37.74167718755977,-122.50519325872216,Coffee Shop
2,1,4b65edd2f964a520f9082be3,Leaping Lemur Café,37.733188267410355,-122.50323951244354,Café
3,1,5a9af095418686433feb2124,Avenues San Francisco,37.74183435298139,-122.50480238934163,Coffee Shop
4,1,49cc7e5af964a52084591fe3,Java Beach Cafe,37.73567128742992,-122.50304945107577,Sandwiches
5,1,5c170ddd5f68b9002c632e5c,Underdogs Too,37.741892,-122.504763,Tacos
6,1,58f65b92aa6c9504bfb36af8,Streamline Coffee & Kitchen,37.74185914268831,-122.50454849121499,Café
7,1,4a59b889f964a52084b91fe3,Old Mandarin Islamic Restaurant 老北京,37.738313465272604,-122.50073819420903,Chinese
8,1,5a9c2de4b9ac3832c40964f8,Verve Coffee Truck,37.745058331605904,-122.50480519409949,Food Truck
9,1,4c0ea20d7189c9288dd1d8b6,The Sunset's Best Seafood Restaurant,37.74214707619592,-122.49917637689192,Seafood
10,1,4e5420f4d4c0fe034276481e,Terrace Cafe,37.733130992924444,-122.49989748001099,Food
11,1,4ff0bd7be4b018853644ad5b,Playfield Café,37.73401980310355,-122.50333338975905,Café
12,1,4b76e6b9f964a520b3682ee3,George's Zoo,37.735603537730185,-122.50197469015743,Liquor Store
13,1,4a73a3a9f964a52009dd1fe3,Brothers Pizza,37.74169418984125,-122.50520077988436,Pizza
14,1,4e5eaa2f7d8b67dc8ff77135,Sunny Vibrations Foodtruck,37.74542071862786,-122.50537990415361,Food Truck
15,1,4a6cba4bf964a5206fd11fe3,United Irish Cultural Center,37.73585877924533,-122.50303636090925,Event Space
16,1,4b92fe95f964a520572d34e3,Pasquale's Pizza,37.73569136792381,-122.50272216861752,Pizza
17,1,463bfdccf964a52026461fe3,Asian American Food Company,37.74169961391947,-122.50747425338253,Dumplings
18,1,5aaeb582e1f22809dcabaf3d,Guinness Truck,37.736005,-122.503166,Food Truck
19,1,58e02934dfa6ff63a9cb9daf,The Depot,37.733495,-122.50153,Fast Food
20,2,5107fc22b0ed34df491330a9,Andytown,37.756788339371354,-122.50230680360448,Coffee Shop
21,2,4db0bc8e0437a93f7f7a23e7,Devil's Teeth Baking Company,37.75304489305452,-122.50502521764298,Bakery
